"","Entity","Code","Year","GDP from tourism as a share of total GDP"
"1","Albania","ALB",2008,2.7570734
"2","Albania","ALB",2009,2.6686888
"3","Albania","ALB",2010,2.812342
"4","Albania","ALB",2011,2.534773
"5","Albania","ALB",2012,2.3569665
"6","Albania","ALB",2013,2.3213682
"7","Albania","ALB",2014,2.326408
"8","Albania","ALB",2015,2.4437852
"9","Albania","ALB",2016,2.6369655
"10","Albania","ALB",2017,2.8357878
"11","Albania","ALB",2018,3.217578
"12","Albania","ALB",2019,3.8442533
"13","Albania","ALB",2020,2.9226747
"14","Albania","ALB",2021,3.2617908
"15","Albania","ALB",2022,3.9531105
"16","Algeria","DZA",2008,0.8
"17","Algeria","DZA",2009,1.1
"18","Algeria","DZA",2010,1
"19","Algeria","DZA",2011,0.9
"20","Algeria","DZA",2012,0.9
"21","Algeria","DZA",2013,1
"22","Algeria","DZA",2014,1.1
"23","Algeria","DZA",2015,1.3
"24","Algeria","DZA",2016,1.4
"25","Algeria","DZA",2017,1.6
"26","Algeria","DZA",2018,1.7
"27","Algeria","DZA",2019,1.8
"28","Algeria","DZA",2020,1
"29","Algeria","DZA",2021,1.2
"30","Algeria","DZA",2022,1.2
"31","Antigua and Barbuda","ATG",2011,10.536905
"32","Antigua and Barbuda","ATG",2012,10.220417
"33","Antigua and Barbuda","ATG",2013,10.678166
"34","Antigua and Barbuda","ATG",2014,10.93971
"35","Antigua and Barbuda","ATG",2015,11.281822
"36","Antigua and Barbuda","ATG",2016,11.381596
"37","Antigua and Barbuda","ATG",2017,10.837452
"38","Antigua and Barbuda","ATG",2018,10.695942
"39","Antigua and Barbuda","ATG",2019,10.636665
"40","Antigua and Barbuda","ATG",2020,7.524035
"41","Antigua and Barbuda","ATG",2021,9.731131
"42","Antigua and Barbuda","ATG",2022,11.70779
"43","Argentina","ARG",2016,1.9176736
"44","Argentina","ARG",2017,1.9862579
"45","Argentina","ARG",2018,1.8397866
"46","Argentina","ARG",2019,1.7732732
"47","Argentina","ARG",2020,0.883223
"48","Argentina","ARG",2021,0.8401535
"49","Argentina","ARG",2022,1.6839474
"50","Aruba","ABW",2013,19.9
"51","Aruba","ABW",2014,21.1
"52","Aruba","ABW",2015,21.6
"53","Aruba","ABW",2016,21.2
"54","Aruba","ABW",2017,21.2
"55","Australia","AUS",2008,2.9
"56","Australia","AUS",2009,2.8
"57","Australia","AUS",2010,2.7
"58","Australia","AUS",2011,2.7
"59","Australia","AUS",2012,2.8
"60","Australia","AUS",2013,2.9
"61","Australia","AUS",2014,3
"62","Australia","AUS",2015,3.1
"63","Australia","AUS",2016,3.1
"64","Australia","AUS",2017,3.1
"65","Australia","AUS",2018,3.1
"66","Australia","AUS",2019,2.4
"67","Australia","AUS",2020,1.4
"68","Australia","AUS",2021,1.5
"69","Australia","AUS",2022,2.5
"70","Austria","AUT",2018,5.198377
"71","Austria","AUT",2019,5.3312244
"72","Austria","AUT",2020,3.3603523
"73","Austria","AUT",2021,2.6603975
"74","Azerbaijan","AZE",2016,3.7
"75","Azerbaijan","AZE",2022,2.2305279
"76","Bahamas","BHS",2012,15.2
"77","Bahrain","BHR",2017,7.3250937
"78","Bahrain","BHR",2018,6.129361
"79","Bahrain","BHR",2019,6.554989
"80","Bahrain","BHR",2020,1.3963054
"81","Bahrain","BHR",2021,3.2
"82","Bahrain","BHR",2022,6
"83","Bangladesh","BGD",2019,3.02
"84","Belarus","BLR",2014,1.7846153
"85","Belarus","BLR",2016,2.2304068
"86","Belarus","BLR",2018,2.4975553
"87","Belarus","BLR",2020,1.4203699
"88","Belgium","BEL",2016,2.1816862
"89","Belgium","BEL",2019,1.8550044
"90","Bermuda","BMU",2008,4.9
"91","Bermuda","BMU",2009,4.3
"92","Bermuda","BMU",2010,5.2
"93","Bermuda","BMU",2011,5.7
"94","Bermuda","BMU",2012,5.2
"95","Bermuda","BMU",2013,5
"96","Bermuda","BMU",2014,4.6
"97","Bermuda","BMU",2015,4.2
"98","Bermuda","BMU",2016,4.7
"99","Bermuda","BMU",2017,4.8
"100","Bermuda","BMU",2018,5.3
"101","Bermuda","BMU",2019,5.1
"102","Bermuda","BMU",2020,1.8
"103","Bermuda","BMU",2021,2.2
"104","Bhutan","BTN",2019,9.521375
"105","Botswana","BWA",2009,3.7
"106","Botswana","BWA",2016,4.9
"107","Botswana","BWA",2019,5.1
"108","Brunei","BRN",2010,0.81
"109","Brunei","BRN",2011,0.65
"110","Brunei","BRN",2012,0.62
"111","Brunei","BRN",2013,0.66
"112","Brunei","BRN",2014,0.65
"113","Brunei","BRN",2015,0.78
"114","Brunei","BRN",2016,0.83
"115","Cameroon","CMR",2012,3.3
"116","Cameroon","CMR",2013,3.4
"117","Cameroon","CMR",2014,3.2
"118","Cameroon","CMR",2015,3.7
"119","Cameroon","CMR",2016,4
"120","Cameroon","CMR",2017,4.1
"121","Cameroon","CMR",2018,5.06
"122","Cameroon","CMR",2019,5.09
"123","Cameroon","CMR",2020,4.65
"124","Cameroon","CMR",2021,4.82
"125","Canada","CAN",2008,1.9106842
"126","Canada","CAN",2009,1.918498
"127","Canada","CAN",2010,1.9197601
"128","Canada","CAN",2011,1.9068742
"129","Canada","CAN",2012,1.9225541
"130","Canada","CAN",2013,1.8881774
"131","Canada","CAN",2014,1.8857429
"132","Canada","CAN",2015,2.0228736
"133","Canada","CAN",2016,2.0822828
"134","Canada","CAN",2017,2.078699
"135","Canada","CAN",2018,2.0902102
"136","Canada","CAN",2019,2.090093
"137","Canada","CAN",2020,1
"138","Canada","CAN",2021,1
"139","Canada","CAN",2022,1.4
"140","Chile","CHL",2008,3.2492762
"141","Chile","CHL",2009,3.319001
"142","Chile","CHL",2010,3.2462027
"143","Chile","CHL",2011,3.156639
"144","Chile","CHL",2012,3.454713
"145","Chile","CHL",2013,3.136377
"146","Chile","CHL",2014,3.1048307
"147","Chile","CHL",2015,3.3981483
"148","Chile","CHL",2016,3.6422906
"149","Chile","CHL",2017,3.5403495
"150","Chile","CHL",2018,3.2959533
"151","Chile","CHL",2019,3.3139246
"152","Colombia","COL",2008,2.5710747
"153","Colombia","COL",2009,2.4838448
"154","Colombia","COL",2010,2.4137785
"155","Colombia","COL",2011,2.213654
"156","Colombia","COL",2012,2.1300948
"157","Colombia","COL",2013,2.0882123
"158","Colombia","COL",2014,2.061599
"159","Colombia","COL",2015,1.9038471
"160","Colombia","COL",2016,2.0598714
"161","Colombia","COL",2017,2.070051
"162","Colombia","COL",2018,2.55753
"163","Colombia","COL",2019,2.6381485
"164","Colombia","COL",2020,1.2478757
"165","Colombia","COL",2021,1.7007594
"166","Colombia","COL",2022,2.1293907
"167","Costa Rica","CRI",2012,4.4107556
"168","Costa Rica","CRI",2013,4.6870594
"169","Costa Rica","CRI",2014,4.617562
"170","Costa Rica","CRI",2015,4.7099004
"171","Costa Rica","CRI",2016,4.9939566
"172","Costa Rica","CRI",2017,4.8088317
"173","Costa Rica","CRI",2018,4.6541758
"174","Costa Rica","CRI",2019,4.8180857
"175","Costa Rica","CRI",2020,1.868988
"176","Costa Rica","CRI",2021,2.7197192
"177","Cote d'Ivoire","CIV",2012,2.4
"178","Cote d'Ivoire","CIV",2013,3.6
"179","Cote d'Ivoire","CIV",2014,4.8
"180","Cote d'Ivoire","CIV",2015,5.16
"181","Cote d'Ivoire","CIV",2016,5.52
"182","Cote d'Ivoire","CIV",2017,5.89
"183","Cote d'Ivoire","CIV",2018,6.25
"184","Cote d'Ivoire","CIV",2019,7.3
"185","Cote d'Ivoire","CIV",2020,1.5
"186","Croatia","HRV",2011,10.3
"187","Croatia","HRV",2016,11.396074
"188","Croatia","HRV",2019,11.82341
"189","Czechia","CZE",2008,2.8015535
"190","Czechia","CZE",2009,2.8734734
"191","Czechia","CZE",2010,2.6529765
"192","Czechia","CZE",2011,2.6599233
"193","Czechia","CZE",2012,2.7493885
"194","Czechia","CZE",2013,2.8829653
"195","Czechia","CZE",2014,2.7636108
"196","Czechia","CZE",2015,2.7723553
"197","Czechia","CZE",2016,2.9068377
"198","Czechia","CZE",2017,2.941727
"199","Czechia","CZE",2018,2.8794243
"200","Czechia","CZE",2019,2.8738184
"201","Czechia","CZE",2020,1.5013151
"202","Czechia","CZE",2021,1.552825
"203","Denmark","DNK",2008,1.6828082
"204","Denmark","DNK",2010,1.9747332
